Date,Open,High,Low,Close,Volume
1531872001,0.505177,0.506500,0.504140,0.504262,16728.027913
1531873801,0.506619,0.509747,0.505282,0.507800,18076.508618
1531875601,0.506101,0.507510,0.502093,0.502109,20749.222582
1531877401,0.504800,0.507824,0.503848,0.505550,12106.590496
1531879201,0.507193,0.508000,0.503863,0.506035,16424.174477
1531881001,0.504550,0.511957,0.504550,0.511267,18360.854516
1531882801,0.511095,0.516000,0.510008,0.511040,23549.628954
1531884601,0.511040,0.513700,0.510667,0.511936,24935.350836
1531886401,0.511640,0.512000,0.506000,0.507380,48937.639666
1531888201,0.507380,0.508210,0.505611,0.508204,19519.787269
1531890001,0.507324,0.509030,0.505618,0.509030,27096.349713
1531891801,0.506450,0.511955,0.506450,0.511921,21727.711193
1531893601,0.511924,0.513700,0.510000,0.511768,15693.109289
1531895401,0.512553,0.513697,0.510061,0.513600,16682.843715
1531897201,0.513650,0.513697,0.506945,0.508463,22054.210065
1531899001,0.509997,0.511175,0.507485,0.511175,17848.268076
1531900801,0.509373,0.511957,0.500000,0.500000,29960.776414
1531902601,0.500000,0.505620,0.500000,0.504000,22214.352800
1531904401,0.504634,0.506619,0.502894,0.503102,20853.442677
1531906201,0.505500,0.506614,0.503000,0.506614,13841.268615
1531908001,0.506500,0.508390,0.504106,0.506000,25115.940960
1531909801,0.508297,0.508297,0.506000,0.506000,17018.793742
1531911601,0.506000,0.509121,0.506000,0.506000,19947.230170
1531913401,0.506490,0.509131,0.506000,0.506413,16747.292801
1531915201,0.508629,0.510645,0.506000,0.510481,20129.414090
1531917001,0.510000,0.511860,0.507381,0.507381,15701.026290
1531918801,0.510989,0.510989,0.506112,0.509149,8266.900180
1531920601,0.506112,0.511700,0.506003,0.511697,20668.558965
1531922401,0.508632,0.514523,0.508198,0.509225,20485.055618
1531924201,0.509162,0.513250,0.508352,0.508352,12833.173904
1531926001,0.509770,0.510570,0.506106,0.507999,15284.194081
1531927801,0.507999,0.509714,0.507880,0.508660,14103.835135
1531929601,0.508280,0.511957,0.507136,0.511900,24659.963694
1531931401,0.511600,0.511600,0.509000,0.509340,12810.164501
1531933201,0.509000,0.510000,0.505809,0.508000,33445.160572
1531935001,0.506800,0.513000,0.506660,0.512900,18296.910405
1531936801,0.510784,0.515700,0.510000,0.512797,15616.959204
1531938601,0.509167,0.511908,0.507000,0.507110,6596.912355
1531940401,0.507113,0.509995,0.485000,0.494000,93435.041146
1531942201,0.494000,0.495000,0.487319,0.487319,38436.300210
1531944001,0.488935,0.489094,0.480100,0.483800,55095.524758
1531945801,0.481130,0.485574,0.475168,0.485000,41698.352293
1531947601,0.481005,0.486551,0.480010,0.486500,16016.230128
1531949401,0.486642,0.486722,0.483886,0.485777,19747.575783
1531951201,0.485054,0.485777,0.478976,0.479690,17642.635144
1531953001,0.476572,0.489224,0.476466,0.487098,49265.566346
1531954801,0.486125,0.487920,0.483283,0.483460,15692.720604
1531956601,0.483632,0.485940,0.483440,0.485400,13393.147815
