Date,Open,High,Low,Close,Volume
1531339201,0.449110,0.453498,0.448979,0.451510,117529.085103
1531353601,0.451810,0.453497,0.448000,0.449610,104231.951378
1531368001,0.449553,0.449810,0.435813,0.437484,138710.231827
1531382401,0.438998,0.439003,0.435100,0.436842,126546.069922
1531396801,0.437908,0.439005,0.434750,0.437380,135458.335080
1531411201,0.436010,0.439998,0.435969,0.437910,98261.958732
1531425601,0.438085,0.442000,0.432100,0.441957,112422.807941
1531440001,0.442083,0.446739,0.441378,0.446730,103544.996650
1531454401,0.446720,0.447242,0.442432,0.444144,106907.606488
1531468801,0.446327,0.446397,0.441487,0.443182,121753.005650
1531483201,0.444546,0.448305,0.441902,0.443505,145965.175215
1531497601,0.443770,0.447400,0.438942,0.438942,107165.170672
1531512001,0.438409,0.442373,0.435780,0.442373,120796.566862
1531526401,0.441460,0.442229,0.438131,0.438736,116623.545290
1531540801,0.438389,0.443623,0.437110,0.439783,108113.619498
1531555201,0.440173,0.440173,0.435700,0.439377,119615.882870
1531569601,0.437880,0.442000,0.437000,0.439322,108293.983174
1531584001,0.440000,0.442083,0.438133,0.440548,99564.410224
1531598401,0.439962,0.444000,0.439780,0.442490,105147.327866
1531612801,0.442070,0.443619,0.438386,0.439030,97506.813606
1531627201,0.439517,0.444065,0.438725,0.440660,112245.332868
1531641601,0.439970,0.447368,0.439665,0.444593,60882.549472
1531656001,0.444596,0.448838,0.442748,0.447000,24399.730674
1531670401,0.447000,0.449497,0.446505,0.446814,16224.001609
1531684801,0.449040,0.449874,0.446811,0.446811,78374.589746
1531699201,0.447150,0.448869,0.446111,0.448521,110686.849024
1531713601,0.447640,0.448520,0.445000,0.446651,106972.774266
1531728001,0.447936,0.469100,0.444585,0.465041,151917.386240
1531742401,0.466000,0.466200,0.458193,0.463800,183129.573093
1531756801,0.463726,0.469933,0.461581,0.469000,233326.435854
1531771201,0.467490,0.478800,0.463851,0.478800,153564.826717
1531785601,0.477800,0.478800,0.473338,0.478800,122476.492832
1531800001,0.477157,0.479940,0.465435,0.471965,168194.256697
1531814401,0.470000,0.474021,0.466000,0.466912,164845.139732
1531828801,0.466912,0.474880,0.465590,0.474880,179089.450689
1531843201,0.472900,0.511957,0.470046,0.499900,515001.975695
1531857601,0.498594,0.513403,0.485000,0.502090,227326.323190
1531872001,0.505177,0.516000,0.502093,0.511936,150930.358393
1531886401,0.511640,0.513700,0.505611,0.511175,189559.918985
1531900801,0.509373,0.511957,0.500000,0.506413,165699.098179
1531915201,0.508629,0.514523,0.506000,0.508660,127472.158264
1531929601,0.508280,0.515700,0.485000,0.487319,243297.412088
1531944001,0.488935,0.489224,0.475168,0.485940,227151.752871
