Date,Open,High,Low,Close,Volume
1531872001,0.028468,0.029900,0.028390,0.029640,48.056187
1531873801,0.029382,0.029604,0.029034,0.029280,17.115691
1531875601,0.029292,0.029296,0.028933,0.029211,27.307919
1531877401,0.029104,0.029239,0.028983,0.029024,11.925785
1531879201,0.029076,0.029076,0.028631,0.028825,14.245866
1531881001,0.028797,0.029937,0.028740,0.029447,36.597879
1531882801,0.029741,0.030096,0.029650,0.029982,35.459493
1531884601,0.029904,0.030100,0.029657,0.029657,14.002344
1531886401,0.029657,0.029986,0.029480,0.029654,21.769362
1531888201,0.029913,0.030000,0.029693,0.029999,12.925356
1531890001,0.029906,0.029916,0.029515,0.029870,43.459514
1531891801,0.029834,0.030077,0.029753,0.029753,12.312806
1531893601,0.029957,0.029957,0.029590,0.029724,25.349918
1531895401,0.029724,0.029771,0.029588,0.029677,50.280032
1531897201,0.029800,0.029800,0.029123,0.029123,19.563267
1531899001,0.029069,0.029501,0.029025,0.029501,31.152385
1531900801,0.029445,0.029505,0.028708,0.028832,64.638211
1531902601,0.028879,0.029030,0.028732,0.028932,18.262963
1531904401,0.029062,0.029062,0.028732,0.028924,15.112662
1531906201,0.028816,0.028849,0.028600,0.028632,14.878035
1531908001,0.028606,0.028788,0.028606,0.028688,10.190618
1531909801,0.028676,0.028889,0.028478,0.028632,20.588212
1531911601,0.028690,0.029358,0.028633,0.029228,31.587899
1531913401,0.029295,0.029296,0.029034,0.029269,23.562044
1531915201,0.029205,0.029395,0.029140,0.029176,13.400471
1531917001,0.029362,0.029388,0.029104,0.029170,15.573626
1531918801,0.029260,0.029617,0.029250,0.029604,8.180406
1531920601,0.029349,0.029600,0.029242,0.029340,17.102925
1531922401,0.029282,0.029282,0.028615,0.028636,10.545608
1531924201,0.028638,0.029000,0.028638,0.028868,10.294492
1531926001,0.028887,0.028990,0.028731,0.028747,12.484707
1531927801,0.028700,0.028772,0.028480,0.028607,15.429512
1531929601,0.028592,0.028772,0.028531,0.028531,73.184852
1531931401,0.028670,0.028889,0.028531,0.028587,45.353700
1531933201,0.028533,0.028749,0.028431,0.028495,12.280339
1531935001,0.028515,0.028688,0.028515,0.028616,10.885934
1531936801,0.028651,0.028887,0.028300,0.028300,7.617308
1531938601,0.028300,0.028544,0.028129,0.028238,8.634513
1531940401,0.028238,0.028788,0.027745,0.028736,19.955690
1531942201,0.028652,0.028652,0.027830,0.027842,20.302681
1531944001,0.027936,0.028064,0.027648,0.027950,18.146018
1531945801,0.027935,0.027935,0.027504,0.027599,14.602636
1531947601,0.027703,0.027800,0.027623,0.027651,10.882069
1531949401,0.027784,0.027840,0.027648,0.027818,10.274159
1531951201,0.027710,0.027725,0.027551,0.027553,10.069485
1531953001,0.027559,0.027897,0.027496,0.027728,12.120005
1531954801,0.027813,0.028093,0.027795,0.028044,10.536937
1531956601,0.027933,0.028379,0.027933,0.028298,12.348362
